Label	Area	Perim	Circ	Feret	FeretX	FeretY	FeretAngle	MinFeret	AR	Round	Solidity
imp	0.005	0.266	0.941	0.101	14.675	13.339	128.66	0.074	1.183	0.845	0.967
imp	0.004	0.241	0.932	0.094	13.523	13.534	141.843	0.063	1.264	0.791	0.972
imp	3.908	9.5	0.544	3.43	9.889	16.159	26.131	1.931	1.943	0.515	0.911
imp	2.169	6.258	0.696	1.974	19.038	16.091	31.095	1.7	1.121	0.892	0.95
imp	3.095	8.676	0.517	3.328	13.523	15.922	171.42	1.515	2.306	0.434	0.88
imp	2.577	6.835	0.693	2.32	11.273	2.763	41.677	1.634	1.408	0.71	0.949
imp	2.978	6.729	0.826	2.359	15.832	1.759	125.612	1.764	1.325	0.755	0.982
imp	2.557	7.899	0.515	2.208	18.029	3.185	164.601	1.657	1.186	0.843	0.923
imp	0.007	0.307	0.903	0.112	20.243	3.196	131.186	0.085	1.059	0.944	0.988
imp	3.162	8.083	0.608	2.976	21.262	7.67	80.705	1.6	2.02	0.495	0.894
imp	2.643	6.974	0.683	2.546	13.925	5.848	6.314	1.418	1.629	0.614	0.958
imp	3.247	8.352	0.585	2.99	5.589	7.544	29.418	1.927	1.454	0.688	0.876
imp	3.903	8.744	0.641	3.07	13.08	6.413	117.8	1.767	1.896	0.527	0.926
imp	2.12	6.098	0.716	1.961	16.049	7.676	26.91	1.431	1.317	0.759	0.962
imp	3.093	8.504	0.537	2.888	8.906	9.165	62.075	1.684	1.798	0.556	0.92
imp	1.518	14.484	0.091	2.136	2.525	9.546	76.411	1.509	1.36	0.735	0.629
imp	0.019	0.574	0.727	0.209	2.187	8.019	159.274	0.136	1.67	0.599	0.876
imp	0.031	0.832	0.554	0.314	1.955	8.479	77.367	0.15	2.472	0.404	0.786
imp	0.005	0.271	0.84	0.107	1.807	8.452	147.095	0.058	1.617	0.619	0.972
imp	0.007	0.315	0.868	0.116	2.604	8.5	140.528	0.085	1.158	0.864	0.957
imp	3.907	8.353	0.704	2.817	19.112	9.329	164.556	1.922	1.427	0.701	0.956
imp	0.024	0.688	0.626	0.28	2.874	9.007	54.211	0.152	2.092	0.478	0.86
imp	0.013	0.486	0.697	0.172	2.308	9.181	47.49	0.127	1.216	0.822	0.877
imp	2.82	7.421	0.643	2.375	10.354	10.544	159.429	1.96	1.029	0.972	0.92
imp	0.008	0.343	0.81	0.13	9.662	10.153	111.371	0.069	1.801	0.555	0.968
imp	3.016	7.842	0.616	2.862	4.923	12.256	34.775	1.457	2.122	0.471	0.928
imp	2.055	6.918	0.539	2.679	21.035	12.472	41.643	1.012	2.745	0.364	0.94
imp	1.824	7.696	0.387	2.483	16.719	13.302	66.817	1.382	1.865	0.536	0.821
imp	0.009	0.411	0.683	0.166	20.819	12.039	30.651	0.083	2.144	0.466	0.916
imp	3.027	7.459	0.684	2.905	7.406	13.545	31.464	1.564	1.775	0.563	0.969
imp	3.223	7.514	0.717	2.657	11.12	14.527	36.756	1.464	1.842	0.543	0.954
imp	8.322	13.178	0.602	4.857	13.65	16.228	10.846	2.763	1.684	0.594	0.884
imp	1.872	5.912	0.673	1.888	15.526	3.867	29.864	1.661	1.106	0.904	0.932
imp	2.868	7.933	0.573	3.001	9.593	3.133	93.432	1.638	1.741	0.574	0.891
imp	2.949	7.381	0.68	2.42	4.432	5.05	37.996	1.55	1.651	0.606	0.899
imp	2.385	6.48	0.714	2.29	12.324	4.237	154.44	1.426	1.481	0.675	0.954
imp	2.43	6.766	0.667	2.591	7.015	8.035	80.614	1.353	1.934	0.517	0.945
imp	2.983	7.195	0.724	2.415	22.926	8.516	83.217	1.644	1.445	0.692	0.94
imp	3.208	7.848	0.654	2.793	16.83	6.968	4.665	1.758	1.559	0.642	0.903
imp	0.038	0.887	0.604	0.364	14.506	6.339	13.431	0.137	2.781	0.36	0.932
imp	0.013	0.471	0.726	0.192	13.867	6.508	31.504	0.102	1.919	0.521	0.946
imp	1.249	8.462	0.219	2.265	13.032	7.396	16.111	1.161	2.707	0.369	0.571
imp	0.068	1.329	0.482	0.48	13.434	6.788	8.219	0.243	2.238	0.447	0.794
imp	2.386	6.84	0.641	2.118	10.069	8.722	23.049	1.834	1.067	0.937	0.892
imp	0.002	0.178	0.899	0.067	14.147	7.676	135	0.048	1	1	1
imp	2.951	7.047	0.747	2.616	8.97	9.086	91.504	1.687	1.506	0.664	0.96
imp	0.024	0.687	0.643	0.265	15.383	9.223	137.42	0.149	2.135	0.468	0.856
imp	0.559	7.112	0.139	1.328	14.802	9.868	170.613	1.004	1.206	0.829	0.574
imp	2.056	12.387	0.168	2.51	20.38	11.088	27.86	1.763	1.495	0.669	0.656
imp	0.125	2.334	0.288	0.635	14.136	9.873	11.03	0.385	1.597	0.626	0.658
imp	0.051	1.107	0.518	0.474	22.625	9.952	149.146	0.161	3.476	0.288	0.895
imp	2.269	6.984	0.584	2.272	4.601	10.074	101.127	1.614	1.276	0.784	0.871
imp	0.778	6.743	0.215	1.345	13.677	10.312	136.591	1.054	1.551	0.645	0.707
imp	0.008	0.358	0.817	0.132	14.39	10.359	66.501	0.079	1.624	0.616	0.954
imp	0.154	1.903	0.534	0.645	14.453	10.475	129.685	0.385	1.603	0.624	0.826
imp	2.214	5.902	0.799	2.103	17.285	10.956	161.702	1.4	1.334	0.749	0.971
imp	0.01	0.393	0.838	0.15	14.976	10.639	39.289	0.095	1.366	0.732	0.961
imp	0.005	0.251	0.922	0.091	21.896	10.66	125.538	0.069	1.094	0.914	0.96
imp	0.016	0.556	0.644	0.2	14.892	10.697	142.524	0.121	1.927	0.519	0.822
imp	0.022	0.647	0.664	0.269	22.234	10.676	136.591	0.129	2.28	0.439	0.896
imp	0.002	0.178	0.899	0.067	22.477	10.681	135	0.048	1	1	1
imp	1.381	7.599	0.301	1.864	10.243	12.404	153.217	1.388	1.016	0.985	0.73
imp	2.371	8.215	0.442	2.324	7.829	14.923	74.574	1.659	1.304	0.767	0.885
imp	0.011	0.469	0.611	0.191	11.991	13.185	50.599	0.085	2.556	0.391	0.845
imp	0.004	0.239	0.9	0.091	11.87	13.122	35.538	0.058	1.291	0.775	0.977
imp	3.475	8.363	0.624	3.376	19.651	13.259	130.494	1.382	2.539	0.394	0.961
imp	0.003	0.203	0.908	0.079	11.115	13.418	132.274	0.053	1.127	0.887	0.986
